participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.age,player.gender,player.covid_positive,player.location,player.reading,player.Prolific_ID,player.attention_check,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,odw3k2vs,,0,0,446,,,,0,,,0,1,,,,,,,,,0,1,1,uxmlwm02,,,,,1
2,vdba59gi,,0,0,446,,,,0,,,0,2,,,,,,,,,0,1,1,uxmlwm02,,,,,1
3,zwecc7xd,,0,0,446,,,,0,,,0,3,,,,,,,,,0,1,1,uxmlwm02,,,,,1
4,t6uwnfbs,,0,0,446,,,,0,,,0,4,,,,,,,,,0,1,1,uxmlwm02,,,,,1
5,ooud13wj,,0,0,446,,,,0,,,0,5,,,,,,,,,0,1,1,uxmlwm02,,,,,1
6,99gebvm1,,0,0,446,,,,0,,,0,6,,,,,,,,,0,1,1,uxmlwm02,,,,,1
7,3yaapz9q,,0,0,446,,,,0,,,0,7,,,,,,,,,0,1,1,uxmlwm02,,,,,1
8,63jrps4n,,0,0,446,,,,0,,,0,8,,,,,,,,,0,1,1,uxmlwm02,,,,,1
9,x4dzxo29,,0,0,446,,,,0,,,0,9,,,,,,,,,0,1,1,uxmlwm02,,,,,1
10,6ggayk6v,,0,0,446,,,,0,,,0,10,,,,,,,,,0,1,1,uxmlwm02,,,,,1
11,b3gcvxl5,,0,0,446,,,,0,,,0,11,,,,,,,,,0,1,1,uxmlwm02,,,,,1
1,ijn5fl3o,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:17.014983+00:00,1,,,80,1,,26,Male,0,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
2,ctdbf3r2,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:19.195812+00:00,1,,,120,2,,26,Male,0,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
3,469187ym,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:20.493220+00:00,1,,,20,3,,26,Male,1,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
4,ucscuo50,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:21.633547+00:00,1,,,20,4,,26,Male,1,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
5,54d44jez,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:23.181452+00:00,1,,,20,5,,26,Male,1,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
6,i73g4qvs,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:24.216713+00:00,1,,,20,6,,26,Male,0,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
7,o5m15dzq,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:26.400685+00:00,1,,,20,7,,26,Male,1,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
8,3mkn4smq,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:27.708445+00:00,1,,,20,8,,26,Male,0,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
9,yf6dhpv7,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:28.761331+00:00,1,,,80,9,,26,Male,1,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
10,jgzbqu7b,,0,150,446,public_goods_experiment_1,NewRound,2021-01-19 22:17:32.181980+00:00,1,,,20,10,,26,Male,0,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
11,vlzk98p2,,0,153,446,public_goods_experiment_1,SecondPlayerContribute,2021-01-19 22:17:34.031827+00:00,1,,,20,11,,26,Male,0,England,0,test,New York City,0,1,1,mtsrujie,,,,,1
1,dtshsahf,,0,0,446,,,,0,,,0,1,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
2,yzvb3zpb,,0,0,446,,,,0,,,0,2,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
3,m6itunbq,,0,0,446,,,,0,,,0,3,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
4,pcjnndwd,,0,0,446,,,,0,,,0,4,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
5,hag50dqo,,0,0,446,,,,0,,,0,5,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
6,24x3tw2b,,0,0,446,,,,0,,,0,6,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
7,cfkbvku8,,0,0,446,,,,0,,,0,7,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
8,n4or51h1,,0,0,446,,,,0,,,0,8,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
9,zeetbefk,,0,0,446,,,,0,,,0,9,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
10,29r8bvoo,,0,0,446,,,,0,,,0,10,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
11,abpskrgo,,0,0,446,,,,0,,,0,11,,,,,,,,,0,1,1,kzvuh5oe,,,,,1
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,1,,51,Female,0,England,0,58d283fcbfaa440001d1f097,Chicago,0,1,1,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,2,,19,Male,0,England,0,5d3cb6625ca28800166c8ffc,Chicago,0,1,1,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,3,,29,Female,0,England,0,5f215ed0456c964f5f1e408d,Chicago,0,1,1,ui73b4cc,,,,,0
4,u6y8sx1v,5af17e5d3c1f670001a4570e,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.489940+00:00,1,,,270,4,,0,,0,,0,,,0,1,1,ui73b4cc,,,,,0
5,wfpzt5z0,5d2464b812b27400011db6e7,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.743958+00:00,1,,,2120,5,,36,Female,0,England,0,5d2464b812b27400011db6e7,Chicago,0,1,1,ui73b4cc,,,,,0
6,nwr8ut6o,5ca0de7d8001d50018c69031,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.838229+00:00,1,,,2340,6,,0,,0,,0,,,0,1,1,ui73b4cc,,,,,0
7,wv2ypvol,5b88002a7bb9e90001f0703f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.572245+00:00,1,,,2750,7,,36,Male,0,England,0,5b88002a7bb9e90001f0703f,Chicago,0,1,1,ui73b4cc,,,,,0
8,hhasem8p,5b1d413544127b00013fea42,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.618045+00:00,1,,,270,8,,0,,0,,0,,,0,1,1,ui73b4cc,,,,,0
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,9,,35,Female,0,England,0,5ef3087637ccf9000bbacd57,Tokyo,0,1,1,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,10,,39,Female,0,Northern Ireland,0,5e49c48fac17f4000c1bfcbc,Chicago,0,1,1,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,33,Female,0,England,0,5f8c5fe7018e5908ef6f1b1f,Chicago,0,1,1,ui73b4cc,,,,,0
1,tlrbw2wd,5f9b28cdd59a8e3148572a38,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:51.911264+00:00,1,,,2280,1,,21,Male,0,England,0,5f9b28cdd59a8e3148572a38,Chicago,0,1,1,kiy32p78,,,,,0
2,h95dma4u,5cc1c0120915430001d7f38e,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:51.977521+00:00,1,,,1800,2,,58,Female,0,England,0,5cc1c0120915430001d7f38e,Chicago,0,1,1,kiy32p78,,,,,0
3,sisuspnh,5ffddf62a9ce783d6ae3a7dc,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.281856+00:00,1,,,2230,3,,64,Male,0,Wales,0,5ffddf62a9ce783d6ae3a7dc,Chicago,0,1,1,kiy32p78,,,,,0
4,ifhfugeh,5f1afac4a6090e27181f302d,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.061501+00:00,1,,,1850,4,,21,Female,0,Wales,0,5f1afac4a6090e27181f302d,Chicago,0,1,1,kiy32p78,,,,,0
5,19navfft,5f4650bde0e1d7016717bb5e,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.097761+00:00,1,,,1890,5,,47,Female,0,Wales,0,5f4650bde0e1d7016717bb5e,Tokyo,0,1,1,kiy32p78,,,,,0
6,sq9bkwdu,5ff7579b5edf433e40c56f2d,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.139337+00:00,1,,,2300,6,,34,Female,0,Wales,0,5ff7579b5edf433e40c56f2d,Chicago,0,1,1,kiy32p78,,,,,0
7,mloknwd8,5f522c40069004482b3af322,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.025638+00:00,1,,,2170,7,,32,Male,0,England,0,5f522c40069004482b3af322,Chicago,0,1,1,kiy32p78,,,,,0
8,0yi258kw,5edf3a73f4a50b1de157ff46,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.175977+00:00,1,,,2610,8,,49,Female,0,Northern Ireland,0,5edf3a73f4a50b1de157ff46,Chicago,0,1,1,kiy32p78,,,,,0
9,1mxiuapc,5edcf3276763349d23ae0c5a,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.211659+00:00,1,,,2350,9,,33,Female,0,England,0,5edcf3276763349d23ae0c5a,Chicago,0,1,1,kiy32p78,,,,,0
10,yu5vdppa,5edcb44d9b29b400086aa550,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:52.248483+00:00,1,,,2000,10,,34,Female,0,England,0,5edcb44d9b29b400086aa550,Chicago,0,1,1,kiy32p78,,,,,0
11,csnm750f,5f8b729be907951577f9369d,0,446,446,payment_info,PaymentInfo,2021-01-20 20:46:53.494397+00:00,1,,,2100,11,,26,Female,0,England,0,5f8b729be907951577f9369d,Tokyo,0,1,1,kiy32p78,,,,,0
1,83wbkm0x,5d61a78c6512d700179fad0e,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:24.848992+00:00,1,,,2240,1,,30,Female,1,England,0,5d61a78c6512d700179fad0e,Chicago,0,1,1,hbnj3sqi,,,,,0
2,u9bunuu8,5aa7b522b5e2110001c74775,0,445,446,end_survey,Feedback,2021-01-20 22:59:24.791358+00:00,1,,,490,2,,0,,0,,0,,,0,1,1,hbnj3sqi,,,,,0
3,rhueshx1,5b9d57e5737d030001ad2cbf,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:24.915942+00:00,1,,,2290,3,,53,Male,0,England,0,5b9d57e5737d030001ad2cbf,Chicago,0,1,1,hbnj3sqi,,,,,0
4,rqw7f61b,5fc6b2f87ea86c0cf0b11004,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:25.535038+00:00,1,,,1710,4,,22,Male,0,England,0,5fc6b2f87ea86c0cf0b11004,Tokyo,0,1,1,hbnj3sqi,,,,,0
5,9o2i1w7b,5b4bc63b189b4300014face0,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:24.884092+00:00,1,,,1870,5,,20,Male,0,England,0,5b4bc63b189b4300014face0,Chicago,0,1,1,hbnj3sqi,,,,,0
6,6k42f5uv,5e9a162fc140d109fe1a4618,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:24.946162+00:00,1,,,2190,6,,24,Male,0,England,0,5e9a162fc140d109fe1a4618,Chicago,0,1,1,hbnj3sqi,,,,,0
7,3ej41aon,5ce7c46d79642d0017767d94,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:25.021174+00:00,1,,,2290,7,,40,Male,0,England,0,5ce7c46d79642d0017767d94,Chicago,0,1,1,hbnj3sqi,,,,,0
8,bzufjjnj,5fa17668d344ba27114bdffe,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:24.978720+00:00,1,,,2200,8,,27,Female,0,England,0,5fa17668d344ba27114bdffe,Chicago,0,1,1,hbnj3sqi,,,,,0
9,b28r9jfp,5fe6699850c73d4a35116f32,0,445,446,end_survey,Feedback,2021-01-20 22:59:25.088876+00:00,1,,,490,9,,0,,0,,0,,,0,1,1,hbnj3sqi,,,,,0
10,wwwj081u,5f2821cb25deb5052ffe1ba9,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:25.129392+00:00,1,,,1960,10,,24,Male,0,Wales,0,5f2821cb25deb5052ffe1ba9,Chicago,0,1,1,hbnj3sqi,,,,,0
11,h8p6qlbd,5fdbc3d733528a08fdb7cc57,0,446,446,payment_info,PaymentInfo,2021-01-20 22:59:25.055726+00:00,1,,,1960,11,,24,Female,0,England,0,5fdbc3d733528a08fdb7cc57,Tokyo,0,1,1,hbnj3sqi,,,,,0
1,b0odfokv,5eca6060350b940124f94980,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.247105+00:00,1,,,2080,1,,19,Male,1,England,0,5eca6060350b940124f94980,Chicago,0,1,1,ee8b40fn,,,,,0
2,9a99y01v,5f4bdd0445dcf109c307b90d,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:05.961859+00:00,1,,,2440,2,,20,Male,0,England,0,5f4bdd0445dcf109c307b90d,Chicago,0,1,1,ee8b40fn,,,,,0
3,lzur0ua6,5eadaff848b26f4483ae62d9,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.070893+00:00,1,,,2140,3,,39,Male,0,England,0,5eadaff848b26f4483ae62d9,Chicago,0,1,1,ee8b40fn,,,,,0
4,7pbhxkum,5e1e5c3c80e02e1c36679187,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.442761+00:00,1,,,1920,4,,61,Female,0,Scotland,0,5e1e5c3c80e02e1c36679187,Chicago,0,1,1,ee8b40fn,,,,,0
5,u0rvrhmp,5d1a69d8f97a18001977e0d7,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.412343+00:00,1,,,1990,5,,44,Male,0,England,0,5d1a69d8f97a18001977e0d7,Tokyo,0,1,1,ee8b40fn,,,,,0
6,avdidn3m,5fc64b053be696256aeffa0c,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.380636+00:00,1,,,1730,6,,0,,0,,0,,,0,1,1,ee8b40fn,,,,,0
7,yasfn7s0,5efa358d3b02ed8465b9a726,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.113283+00:00,1,,,1990,7,,46,Female,0,England,0,5efa358d3b02ed8465b9a726,Chicago,0,1,1,ee8b40fn,,,,,0
8,swr2teus,5f6d1389e5d74817b6231b3b,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.285551+00:00,1,,,2030,8,,35,Female,0,England,0,5f6d1389e5d74817b6231b3b,Chicago,0,1,1,ee8b40fn,,,,,0
9,oz429r0b,5ffe490b9169a24acfdb6744,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.143219+00:00,1,,,1820,9,,23,Male,0,England,0,5ffe490b9169a24acfdb6744,Chicago,0,1,1,ee8b40fn,,,,,0
10,z01rchrc,5ee0edcb962eba464f486b40,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.336906+00:00,1,,,2180,10,,62,Male,0,England,0,5ee0edcb962eba464f486b40,Chicago,0,1,1,ee8b40fn,,,,,0
11,ikxf2eb2,5fef22a0e7a1d21ed2ef0dbe,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.193988+00:00,1,,,1840,11,,34,Male,0,England,0,5fef22a0e7a1d21ed2ef0dbe,Chicago,0,1,1,ee8b40fn,,,,,0
1,qutm9fwe,5f11a8920a200d04be2d952e,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.124540+00:00,1,,,2820,1,,25,Female,0,England,0,5f11a8920a200d04be2d952e,Chicago,0,1,1,nxh8gdtc,,,,,0
2,ag18jf44,5fb29577ca2ab98b170f5299,0,445,446,end_survey,Feedback,2021-01-21 10:08:15.250283+00:00,1,,,200,2,,32,Male,0,England,0,5fb29577ca2ab98b170f5299,Tokyo,0,1,1,nxh8gdtc,,,,,0
3,3sn15yms,5d68c8aa40524c00189e8ac2,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.174161+00:00,1,,,2900,3,,0,,0,,0,,,0,1,1,nxh8gdtc,,,,,0
4,8g1cel4x,5ebac054d63dde03790ceef8,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.206621+00:00,1,,,2290,4,,29,Female,0,England,0,5ebac054d63dde03790ceef8,Chicago,0,1,1,nxh8gdtc,,,,,0
5,stfuw5pp,5f8578aeb89aed0263cf5355,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.346832+00:00,1,,,1990,5,,27,Indeterminate/Intersex/Unspecified,0,England,0,5f8578aeb89aed0263cf5355,Chicago,0,1,1,nxh8gdtc,,,,,0
6,qkkp4w2o,5f102f0212ea4f000a8ac9da,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.281729+00:00,1,,,2640,6,,51,Male,0,Scotland,0,5f102f0212ea4f000a8ac9da,Chicago,0,1,1,nxh8gdtc,,,,,0
7,c6o4qwkx,5e8b2e599abd417d9512a877,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.313770+00:00,1,,,2330,7,,32,Female,0,England,0,5e8b2e599abd417d9512a877,Chicago,0,1,1,nxh8gdtc,,,,,0
8,yt1v4e5a,5b1aa0433e5521000120f7a8,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.385623+00:00,1,,,2260,8,,30,Female,0,England,0,5b1aa0433e5521000120f7a8,Chicago,0,1,1,nxh8gdtc,,,,,0
9,5pz8eids,5c5c539213005e0001ab6517,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:16.064336+00:00,1,,,1910,9,,64,Male,0,England,0,5c5c539213005e0001ab6517,Tokyo,0,1,1,nxh8gdtc,,,,,0
10,56kf65tx,5ff6f6a583eb982d4248b8c6,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:16.122459+00:00,1,,,2240,10,,20,Female,0,England,0,5ff6f6a583eb982d4248b8c6,Chicago,0,1,1,nxh8gdtc,,,,,0
11,ej0ub5bc,5f057c7f3f3bf0000b446bb9,0,445,446,end_survey,Feedback,2021-01-21 10:08:15.633960+00:00,1,,,200,11,,49,Female,0,England,0,5f057c7f3f3bf0000b446bb9,Chicago,0,1,1,nxh8gdtc,,,,,0
1,wfgl8hda,5f85ca08d15244090ce2fc07,0,445,446,end_survey,Feedback,2021-01-21 11:16:50.839362+00:00,1,,,580,1,,0,,0,,0,,,0,1,1,wbj7asnz,,,,,0
2,aggl3yve,5f95c381d608020c9d0bcb7b,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.158297+00:00,1,,,1900,2,,27,Female,0,England,0,5f95c381d608020c9d0bcb7b,Tokyo,0,1,1,wbj7asnz,,,,,0
3,bpfehv87,5e9f6d2a0f600f0dc07ea1f8,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.357821+00:00,1,,,2100,3,,23,Female,1,England,0,5e9f6d2a0f600f0dc07ea1f8,Chicago,0,1,1,wbj7asnz,,,,,0
4,lpdyleza,5bc772a554b3bc0001a33bde,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.925179+00:00,1,,,2370,4,,26,Male,0,Scotland,0,5bc772a554b3bc0001a33bde,Chicago,0,1,1,wbj7asnz,,,,,0
5,9m91midn,5efa33c4e9f4160ffd817db9,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.404784+00:00,1,,,2160,5,,39,Female,0,England,0,5efa33c4e9f4160ffd817db9,Chicago,0,1,1,wbj7asnz,,,,,0
6,dvibaj70,5f561a95aa1c4ea13672f138,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.862033+00:00,1,,,1700,6,,37,Male,0,England,0,5f561a95aa1c4ea13672f138,Chicago,0,1,1,wbj7asnz,,,,,0
7,wm8nj720,5fff562045ca0505b01ecf83,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.269899+00:00,1,,,2420,7,,32,Male,0,England,0,5fff562045ca0505b01ecf83,Chicago,0,1,1,wbj7asnz,,,,,0
8,ho98lc10,5dac7eaa59f37100128372d5,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.770022+00:00,1,,,1870,8,,56,Female,0,England,0,5dac7eaa59f37100128372d5,Chicago,0,1,1,wbj7asnz,,,,,0
9,xxdgeu81,5d24e4ba5018e900158d31f1,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.662779+00:00,1,,,2030,9,,30,Male,0,Scotland,0,5d24e4ba5018e900158d31f1,Chicago,0,1,1,wbj7asnz,,,,,0
10,504i25gn,5e6e0ba33c76d23b3521aeac,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.590042+00:00,1,,,2230,10,,33,Male,0,England,0,5e6e0ba33c76d23b3521aeac,Chicago,0,1,1,wbj7asnz,,,,,0
11,tcn0caiz,5ee379c2c1832e050bac5c14,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.494081+00:00,1,,,1870,11,,36,Male,0,Scotland,0,5ee379c2c1832e050bac5c14,Chicago,0,1,1,wbj7asnz,,,,,0
1,fz4epc3h,5d9452e023002d001c67bab1,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:31.691281+00:00,1,,,3130,1,,34,Female,0,England,0,5d9452e023002d001c67bab1,Tokyo,0,1,1,ojdekxgb,,,,,0
